"nombre","genero"
"LENKA","F"
"LENNA","F"
"LEONA","F"
"LEONELA","F"
"LEONELLA","F"
"LEONOR","F"
"LEONORA","F"
"LERYN","F"
"LESLIE","F"
"LESLY","F"
"LETICIA","F"
"LETIZIA","F"
"LEXA","F"
"LEYDI","F"
"LEYDIBA","F"
"LEYDY","F"
"LEYLA","F"
"LEYRE","F"
"LIA","F"
"LÍA","F"
"LIAH","F"
"LIAM","F"
"LIAN","F"
"LIANA","F"
"LIBA","F"
"LIBERTAD","F"
"LIBI","F"
"LIBY","F"
"LIDIA","F"
"LIESEL","F"
"LIHUEN","F"
"LILA","F"
"LILEN","F"
"LILÉN","F"
"LILIAN","F"
"LILIANA","F"
"LINA","F"
"LINDA","F"
"LINETH","F"
"LIONELA","F"
"LIONELLA","F"
"LIORA","F"
"LIS","F"
"LISA","F"
"LISBET","F"
"LISBETH","F"
"LISETH","F"
"LISETTE","F"
"LISSA","F"
"LISSET","F"
"LISSETH","F"
"LITZY","F"
"LIV","F"
"LIVIA","F"
"LÍVIA","F"
"LIWEN","F"
"LIZ","F"
"LIZA","F"
"LIZBETH","F"
"LIZET","F"
"LIZETH","F"
"LIZZY","F"
"LOANA","F"
"LOANNA","F"
"LOHANA","F"
"LOLA","F"
"LOREDANA","F"
"LORELEY","F"
"LORENA","F"
"LORENZA","F"
"LORETTA","F"
"LORNA","F"
"LOU","F"
"LOURDES","F"
"LUA","F"
"LÚA","F"
"LUAN","F"
"LUÁN","F"
